"lokaal_ref","Lokaal_ref_kort","omschrijving"
ELL 03.11,03.11,Leslokaal
ELL 03.12,03.12,Leslokaal
ELL 03.13,03.13,Leslokaal
ELL 03.14,03.14,Berging poets
ELL 03.50,03.50,Sas Toilet dames
ELL 03.51,03.51,Toilet Dames
ELL 03.52A,03.52A,Sas Toilet Heren
ELL 03.52B,03.52B,Toilet Heren
ELL 03.T01,03.T01,Traphal 01 Oost
ELL 03.T02,03.T02,Traphal 02 Zuid
ELL 03.T03,03.T03,Traphal 03
ELL 04.01,04.01,Kantoor Departementshoofd
ELL 04.02,04.02,Kantoor EM
ELL 04.03,04.03,Kantoor Diensthoofd A&O
ELL 04.04,04.04,Vergaderzaal
ELL 04.05,04.05,Kantoor Beleidsmedewerkers
ELL 04.06,04.06,Kantoor ENE
ELL 04.07,04.07,Kantoor EA
ELL 04.08,04.08,Kantoor GDM
ELL 04.09,04.09,Kantoor TI
ELL 04.10,04.10,Kantoor IV
ELL 04.11,04.11,Kantoor VG
ELL 04.12,04.12,Kantoor Planners
ELL 04.13,04.13,Lectorenruimte
ELL 04.14,04.14,Vergaderzaal
ELL 04.17,04.17,Vestiaire
ELL 04.18,04.18,Vergaderzaal
ELL 04.19,04.19,Vergaderzaal
ELL 04.20,04.20,Lectorenruimte
ELL 04.21,04.21,Overlegruimte
ELL 04.22,04.22,Overlegruimte
ELL 04.23,04.23,Overlegruimte
ELL 04.24,04.24,Kopieerruimte
ELL 04.25,04.25,Overlegruimte
ELL 04.26,04.26,Berging refter
ELL 04.27,04.27,Refter personeel
ELL 04.28,04.28,Berging Poets
ELL 04.50A,04.50A,Sas Toilet Dames
ELL 04.50B,04.50B,Toilet Dames
ELL 04.50C,04.50C,Toilet Dames rolstoel
ELL 04.51A,04.51A,Toilet Heren urinoirs
ELL 04.51B,04.51B,toilet Heren Rolstoel
ELL 04.51C,04.51C,Toilet Heren
ELL 04.52,04.52,Sas Toilet Heren
ELL 04.60,04.60,Technische ruimte
ELL 04.61,04.61,Technische ruimte 04.19
ELL 04.G01,04.G01,Gang
ELL 04.T01,04.T01,Traphal 01 Oost
ELL 04.T02,04.T02,Traphal 02 Zuid
